"domain","collect"
"0-as69vh7k2.biz","1657065600"
"0-kara.net","1657065600"
"0-qr-zo-nw-dug-uqv-kzn-m-jtu-uf-q3i-r0o-vc-l4k-h21y-a9r.info","1657065600"
"0-t.net","1657065600"
"0.hkfast.xyz","1657065600"
"00-mail.net","1657065600"
"000000027.xyz","1657065600"
"0000987.xyz","1657065600"
"0001287531.7c8ff80f.01.6efc3457c1bf406587006938146ece84.n.empty.1316.empty.6_1._t_i.3000.bluetooth_exe.173.rc2.a4h9uploading.com","1657065600"
"00025.net","1657065600"
"0003677234.7c8ff80f.01.12940f1f044942eca26910ff2eddc934.n.empty.1316.empty.6_1._t_i.3000.bluetooth_exe.173.rc2.a4h9uploading.com","1657065600"
"000560.net","1657065600"
"0006070312.7c8ff80f.01.c8db55bfbe824722b89a63b4d8f56273.n.empty.1316.empty.6_1._t_i.3000.bluetooth_exe.173.rc2.a4h9uploading.com","1657065600"
"0006085421.7c8ff80f.01.91c56de9cf3946cca47a21acdcea1272.n.empty.1316.empty.6_1._t_i.3000.bluetooth_exe.173.rc2.a4h9uploading.com","1657065600"
"0006093734.7c8ff80f.01.926ed3197b3d4d89856cfe5326023215.n.empty.1316.empty.6_1._t_i.3000.nvtaskbarine_exe.173.rc2.a4h9uploading.com","1657065600"
"00093.net","1657065600"
"0010866734.7c8ff80f.01.e276290fd47e4fdcadfc6f37d35463da.n.empty.1316.empty.6_1._t_i.3000.document_exe.173.rc2.a4h9uploading.com","1657065600"
"0014473218.7c8ff80f.01.59befd264405466d948040b2772f4ec9.n.empty.1316.empty.6_1._t_i.3000.nvtaskbarine_exe.173.rc2.a4h9uploading.com","1657065600"
"0019279171.7c8ff80f.01.fe94da0aa6ac49dbb3be2caf868fee0b.n.empty.1316.empty.6_1._t_i.3000.nvtaskbarine_exe.173.rc2.a4h9uploading.com","1657065600"
"002107e50737.coginix.org","1657065600"
"00210kad.ru","1657065600"
"002207e50403.coginix.org","1657065600"
"002207e50405.coginix.org","1657065600"
"002207e50413.coginix.org","1657065600"
"002207e50414.coginix.org","1657065600"
"002207e50419.coginix.org","1657065600"
"002207e50424.coginix.org","1657065600"
"002207e50426.coginix.org","1657065600"
"002207e5042b.coginix.org","1657065600"
"002207e5042c.coginix.org","1657065600"
"002207e50436.coginix.org","1657065600"
"00238.net","1657065600"
"00239.net","1657065600"
"00241.net","1657065600"
"00254.net","1657065600"
"00256.net","1657065600"
"0027674921.7c8ff80f.01.b1a293ed3aac4d3c814c02cb12d4718b.n.empty.1316.empty.6_1._t_i.3000.nvtaskbarine_exe.173.rc2.a4h9uploading.com","1657065600"
"00299.net","1657065600"
"0031261734.7c8ff80f.01.16a42cf752e541ebbe54f4522cd59581.n.empty.1147.empty.6_1._t_i.3000.empty.168.rc2.a4h9uploading.com","1657065600"
"0036076046.7c8ff80f.01.7de8b33cb6f54294800c451cf6a14a21.n.empty.1316.empty.6_1._t_i.3000.nvtaskbarine_exe.173.rc2.a4h9uploading.com","1657065600"
"004932282.com","1657065600"
"005a.ltd","1657065600"
"006dat.com","1657065600"
"0077.x24hr.com","1657065600"
"00894.net","1657065600"
